"X1" "X2"
"          (bereikte, bereikten; heeft bereikt)" NA
"beschrijven (thema 8)" "to describe"
"          (beschreef, beschreven; heeft beschreven)" NA
"besparen (thema 10)" "to save"
"          (bespaarde, bespaarden; heeft bespaard)" NA
"bespreken (thema 2)" "to discuss"
"          (besprak, bespraken; heeft besproken)" NA
"bestellen (thema 3)" "to order"
"          (bestelde, bestelden; heeft besteld)" NA
"betalen (thema 3)" "to pay"
"          (betaalde, betaalden; heeft betaald)" NA
"betegelen (thema 6)" "to tile"
"          (betegelde, betegelden; heeft betegeld)" NA
"bewijzen (thema 9)" "to prove"
"          (bewees, bewezen; heeft bewezen)" NA
"bezoeken (thema 4)" "to visit"
"          (bezocht, bezochten; heeft bezocht)" NA
"binnenkomen (thema 4)                    " "to enter, to come in"
"          (kwam binnen, kwamen binnen; is binnengekomen)" NA
"blijken (thema 10)" "to appear"
"          (bleek, bleken; is gebleken)" NA
"blijven (thema 7)" "to stay"
"          (bleef, bleven; is gebleven)" NA
"boeken (thema 10)" "to book, to reserve"
"          (boekte, boekten; heeft geboekt)" NA
"braden (thema 7)" "to roast, to fry"
"          (braadde, braadden; heeft gebraden)" NA
"breken ( thema 7)" "to break"
"          (brak, braken; heeft gebroken)" NA
"brengen (thema 3)" "to bring"
"          (bracht, brachten; heeft gebracht)" NA
"combineren (thema 8)" "to combine"
"          (combineerde, combineerden; heeft gecombineerd)" NA
"communiceren (thema 9)" "to communicate"
"          (communiceerde, communiceerden; heeft gecommuniceerd)" NA
"dansen (thema 1)" "to dance"
"          (danste, dansten; heeft gedanst)" NA
"denken (thema 7)" "to think"
"          (dacht, dachten; heeft gedacht)" NA
"dichtdoen ( thema 7)" "to close, to shut"
"          (deed dicht, deden dicht; heeft dichtgedaan)" NA
"doen (thema 1)" "to do"
"          (deed, deden; heeft gedaan)" NA
"doorgaan (thema 9)" "continue, go on"
"          (ging door, gingen door; is doorgegaan)" NA
"doorgeven (thema 9)" "to pass on"
"          (gaf door, gaven door; heeft doorgegeven)" NA
"doorlezen (thema 7)" "to read through"
"          (las door, lazen door; heeft doorgelezen)" NA
"doorlopen (thema 7)" "to walk on"
"          (liep door, liepen door; is doorgelopen)" NA
"doorslikken (thema 7)" "to swallow"
"          (slikte door, slikten door; heeft doorgeslikt" NA
"doorverbinden (thema 9)" "to connect, to put through"
"          (verbond door, verbonden door; heeft doorverbonden)" NA
"doorverwijzen ( thema 7)" "to send on (to a specialist)"
"          (verwees door, verwezen door; heft doorverwezen)" NA
"douchen (thema 5)" "to take a shower"
"          (douchte, douchten; heeft gedoucht)" NA
"draaien (thema 7)" "to turn"
"          (draaide, draaiden; heeft gedraaid)" NA
"dragen (thema 3)" "to wear (clothes)"
"          (droeg, droegen; heeft gedragen)" NA
"dromen (thema 4)" "to dream"
"          (droomde, droomden; heeft gedroomd)" NA
"drukken (thema 7)" "to press"
"          (drukte, drukten; heeft gedrukt)" NA
"ergeren (thema 8)" "to be irritated"
"          (ergerde zich, ergerden zich; heeft zich geërgerd)" NA
"ervaren (thema 5)" "to experience"
"          (ervoer, ervoeren; heeft ervaren)" NA
"eten (thema 1)" "to eat"
"          (at, aten; heeft gegeten)" NA
"fietsen (thema 5)" "to cycle"
"          (fietste, fietsten; heeft gefietst)" NA
"flauwvallen (thema 10)" "to faint"
"          (viel flauw, vielen flauw; is flauwgevallen)" NA
"frituren ( thema 7)" "to fry"
"          (frituurde, frituurden; heeft gefrituurd)" NA
"gaan (thema 1)" "to go"
"          (ging, gingen; is gegaan)" NA
"gebruiken (thema 2)" "to use"
"          (gebruikte, gebruikten; heeft gebruikt)" NA
"geloven (thema 4)" "to believe"
"          (geloofde, geloofden; heeft geloofd)" NA
"genieten (thema 8)" "to enjoy"
"          (genoot, genoten; heeft genoten)" NA
"geven ( thema 2)" "to give"
"          (gaf, gaven; heeft gegeven)" NA
"halen (thema 8)" "to get, to fetch"
"          (haalde, haalden; heeft gehaald)" NA
"hangen (thema 3)" "to hang"
"          (hing, hingen; heeft gehangen)" NA
"haten (thema 8)" "to hate"
"          (haatte, haatten; heeft gehaat)" NA
"hebben (thema 1)" "to have"
"          (had, hadden; heeft gehad)" NA
"helpen (thema 3)" "to help"
"          (hielp, hielpen; heeft geholpen)" NA
"herhalen (thema 5)" "to repeat"
"          (herhaalde, herhaalden; heeft herhaald)" NA
"herinneren ( thema 8)" "to remember"
"          (herinnerde zich, herinnerden zich; heeft zich herinnerd)" NA
"heten ( thema 1)" "to be called"
"          (heette, heetten; heeft geheten)" NA
"hinkelen (thema 7)" "to hop, to limp"
"          (hinkelde, hinkelden; is / heeft gehinkeld)" NA
"hopen (thema 7)" "to hope"
"          (hoopte, hoopten; heeft gehoopt)" NA
"horen (thema 2)" "to hear"
"          (hoorde, hoorden; heeft gehoord)" NA
"houden (thema 7)" "to keep"
"          (hield, hielden; heeft gehouden)" NA
"houden van (thema 2)" "to love"
"          (hield van, hielden van; heeft gehouden van)" NA
"inleveren ( thema 7)" "to hand in"
"          (leverde in, leverden in; heeft ingeleverd)" NA
"inschrijven (thema 8)" "to register, to enroll"
"          (schreef zich in, schreven zich in; heeft zich ingeschreven)" NA
"installeren (thema 9)" "to install"
"          (installeerde, installeerden; heeft geïnstalleerd)" NA
"instappen (thema 7)" "to get in, to step into"
"          (stapte in, stapten in; is ingestapt)" NA
"instellen (thema 9)" "to adjust, to set"
"          (stelde in, stelden in; heeft ingesteld)" NA
"interesseren (thema 8)" "to be interested"
"          (interesseerde zich, interesseerden zich; heeft zich geïnteresseerd)" NA
"invullen (thema 7)" "to fill in"
"          (vulde in, vulden in; heeft ingevuld)" NA
"irriteren (thema 4)" "to irritate"
"          (irriteerde, irriteerden; heeft geïrriteerd)" NA
"isoleren (thema 6)" "to isolate; to insulate"
"          (isoleerde, isoleerden; heeft geïsoleerd)" NA
"kauwen (thema 7)" "to chew"
"          (kauwde, kauwden; heeft gekauwd)" NA
"kennen (thema 1)" "to know"
"          (kende, kenden; heeft gekend)" NA
"kiezen (thema 7)" "to choose"
"          (koos, kozen; heeft gekozen)" NA
"kijken (thema 3)" "to look, to watch"
"          (keek, keken; heeft gekeken)" NA
"klaarmaken (thema 7)" "to prepare, to make ready"
"          (maakte klaar, maakten klaar; heeft klaargemaakt)" NA
"kletsen (thema 5)" "to chat, to talk"
"          (kletste, kletsten; heeft gekletst)" NA
"klussen, (thema 6)" "to do a handyman job"
"          (kluste, klusten; heeft geklus)" NA
"kneuzen (thema 7)" "to bruise"
"          (kneusde, kneusde; heeft gekneusd)" NA
"koelen (thema 7)" "to cool"
"          (koelde, koelden; heet gekoeld)" NA
"koken (thema 3)" "to cook"
"          (kookte, kookten; heeft gekookt)" NA
"komen (thema 1)" "to come"
"          (kwam, kwamen; is gekomen)" NA
"kopen (thema 1)" "to buy"
"          (kocht, kochten; heeft gekocht)" NA
"kosten (thema 3)" "to cost"
"          (kostte, kostten; heeft gekost)" NA
"krijgen (thema 2)" "to get, to receive"
"          (kreeg, kregen; heeft gekregen)" NA
"kunnen (thema 2)" "can, to be able to"
"          (kon, konden; heeft gekund)" NA
"kwijtraken (thema 5)" "to lose"
"          (raakte kwijt, raakten kwijt; is kwijtgeraakt)" NA
"landen (thema 4)" "to land"
"          (landde, landden; is geland)" NA
"laten (thema 4)" "to let"
"          (liet, lieten; heeft gelaten)" NA
"leggen ( thema 6)" "to lay (down)"
"          (legde, legden; heeft gelegd)" NA
"lekken (thema 6)" "to leak"
"          (lekte, lekten; heeft gelekt)" NA
"lenen (thema 1)" "to borrow; to lend"
"          (leende, leenden; heeft geleend)" NA
"lezen (thema 1)" "to read"
"          (las, lazen; heeft gelezen)" NA
"liggen (thema 1)" "to lie (down)"
"          (lag, lagen; heeft gelegen)" NA
"lijken op (thema 2)" "look like, seem"
"          (leek, leken; heeft geleken)" NA
"lopen (thema 3)" "to walk"
"          (liep, liepen; heeft gelopen)" NA
"luisteren (thema 1)" "to listen"
"          (luisterde, luisterden; heeft geluisterd)" NA
"lukken (thema 4)" "to succeed, to be successful"
"          (lukte, lukten; is gelukt)" NA
"lunchen (thema 4)" "to have lunch"
"          (lunchte, lunchten; heeft geluncht)" NA
"mailen (thema 4)" "to (send a ) mail"
"          (mailde, mailden; heeft gemaild)" NA
"maken (thema 2)" "to make"
"          (maakte, maakten; heeft gemaakt)" NA
"meegaan (thema 8)" "to go with …, to join"
"          (ging mee, gingen mee; is meegegaan)" NA
"meenemen (thema 7)" "take with you"
"          (nam mee, namen mee; heeft meegenomen)" NA
"meevallen (thema 8)" "to be better than expected"
"          (viel mee, vielen mee; is meegevallen)" NA
"melden (thema 6)" "to mention, to report"
"          (meldde zich, meldden zich; heeft zich gemeld)" NA
"mengen (thema 7)" "to mix, to mingle"
"          (mengde, mengden; heeft gemengd)" NA
"mijden (thema 8)" "to avoid"
"          (meed, meden; heeft gemeden)" NA
"misgaan (thema 8)" "to go wrong"
"          (ging mis, gingen mis; is misgegaan)" NA
"missen (thema 2)" "to miss"
"          (miste, misten; gemist)" NA
"moeten (thema 2)" "must"
"          (moest, moesten; heeft gemoeten)" NA
"noteren (thema 9)" "to note down, make a note"
"          (noteerde, noteerden; heeft genoteerd)" NA
"oefenen (thema 5)" "to practise, to exercise"
"          (oefende, oefenden; heeft geoefend)" NA
"ontbijten (thema 5)" "to have breakfast"
"          (ontbeet, ontbeten; heeft ontbeten)" NA
"ontdekken (thema 6)" "to discover"
"          (ontdekte, ontdekten; heeft ontdekt)" NA
"ontmoeten (thema 1)" "to meet, to get acquainted"
"          (ontmoette, ontmoetten; heeft ontmoet)" NA
"ontvangen (thema 8)" "te receive"
"          (ontving, ontvingen; heeft ontvangen)" NA
"ontwikkelen (zich; thema 9)" "to develop"
"          (ontwikkelde zich, ontwikkelden zich; heeft zich ontwikkeld)" NA
"opbellen (thema 7)" "to call, to phone"
"          (belde op, belden op; heeft opgebeld)" NA
"opdoen (thema 10)" "to get (experience)"
"          (deed op, deden op; heeft opgedaan)" NA
"opendoen (thema 7)" "to open (a door or window)"
"          (deed open, deden open; heeft opengedaan)" NA
"opgroeien (thema 6)" "to grow up"
"          (groeide op, groeiden op; is opgegroeid)" NA
"ophalen (thema 4)" "to pick up"
"          (haalde op, haalden op; heeft opgehaald)" NA
"ophangen (thema 6)" "to hang up"
"          (hing op, hingen op; heeft opgehangen)" NA
"opmaken (thema 8)" "to spend, to use up"
"          (maakte op, maakten op; heeft opgemaakt,)" NA
"opnemen (contact…, thema 6)" "to get in touch"
"          (nam op, namen op; heeft opgenomen)" NA
"opruimen (thema 6)" "to clean up, to clear away"
"          (ruimde op, ruimden op; heeft opgeruimd)" NA
"opschieten (thema 4)" "to hurry up"
"          (schoot op, schoten op; is opgeschoten)" NA
"opschrijven (thema 7)" "to write down"
"          (schreef op, schreven op; heeft opgeschreven)" NA
"opstaan (thema 7)" "to get up"
"          (stond op, stonden op; is opgestaan)" NA
"opvallen ( thema 7)" "to strike, attract attention"
"          (viel op, vielen op; is opgevallen)" NA
"opzoeken (thema 7)" "to look up"
"          (zocht op, zochten op; heeft opgezocht)" NA
"organiseren (thema 8)" "to organise"
"          (organiseerde, organiseerden; heeft georganiseerd)" NA
"overleven (thema 10)" "to survive"
"          (overleefde, overleefden; heeft overleefd)" NA
"overlijden (thema 2)" "to die"
"          (overleed, overleden; is overleden)" NA
"overnemen (thema 10)" "to take over"
"          (nam over, namen over; heeft overgenomen)" NA
"overstappen (thema 4)" "to change (trains)"
"          (stapte over, stapten over; is overgestapt)" NA
"overwerken (thema 5)" "work overtime"
"          (werkte over, werkten over; heeft overgewerkt)" NA
"pakken (thema 2)" "to pick up, to seize"
"          (pakte, pakten; heeft gepakt)" NA
"parkeren (thema 2)" "to park"
"          (parkeerde, parkeerden; heeft geparkeerd)" NA
"passen (thema 3)" "to fit, to try on"
"          (paste, pasten; heeft gepast)" NA
"passeren (thema 4)" "to pass"
"          (passeerde, passeerden; heeft gepasseerd)" NA
"pinnen (thema 2)" "to pin (money)"
"          (pinde, pinden; heeft gepind)" NA
"poepen (thema 6)" "to shit"
"          (poepte, poepten; heeft gepoept)" NA
"praten (thema 5)" "to talk"
"          (praatte, praatten; heeft gepraat)" NA
"proberen (thema 3)" "to try"
"          (probeerde, probeerden; heeft geprobeerd)" NA
"proeven (thema 4)" "to taste, to try (food, drink)"
"          (proefde, proefden; heeft geproefd)" NA
"raden (thema 9)" "to guess"
"          (raadde, raadden; heeft geraden)" NA
"reageren (thema 2)" "to react, to respond"
"          (reageerde, reageerden; heeft gereageerd)" NA
"redden (thema 8)" "to save, to manage"
"          (redde, redden; heeft gered)" NA
"regelen (thema 5)" "to arrange, to organize"
"          (regelde, regelden; heeft geregeld)" NA
"regenen (thema 8)" "to rain"
"          (regende, regenden; heeft geregend)" NA
"reizen (thema 2)" "to travel"
"          (reisde, reisden; heeft gereisd)" NA
"rekenen (thema 9)" "to calculate"
"          (rekende, rekenden; heeft gerekend)" NA
"relaxen (thema 8)" "to relax"
"          (relaxte, relaxten; heeft gerelaxt)" NA
"rennen (thema 4)" "to run"
"          (rende, renden; heeft gerend)" NA
"repareren (thema 6)" "to repair"
"          (repareerde, repareerden; heeft gerepareerd)" NA
"reserveren (thema 5)" "to reserve, to book"
"          (reserveerde, reserveerden; heeft gereserveerd)" NA
"rijden (thema 4)" "to drive, to ride"
"          (reed, reden; heeft / is gereden)" NA
"roken (thema 2)" "to smoke"
"          (rookte, rookten; heeft gerookt)" NA
"samenwerken (thema 7)" "to work together, cooperate"
"          (werkte samen, werkten samen; heeft samengewerkt)" NA
"samenwonen (thema 6)" "to live together"
"          (woonde samen, woonden samen; heeft samengewoond)" NA
"schaatsen (thema 5)" "to skate"
"          (schaatste, schaatsten; heeft geschaatst)" NA
"schamen (zich; thema 8)" "to be ashamed"
"          (schaamde zich, schaamden zich; heeft zich geschaamd)" NA
"scheren (zich; thema 8)" "to shave"
"          (scheerde zich, scheerden zich; heeft zich geschoren)" NA
"schijnen (thema 6)" "to shine (sun); to seem"
"          (scheen, schenen; heeft geschenen)" NA
"schilderen (thema 5)" "to paint"
"          (schilderde, schilderden; heeft geschilderd)" NA
"schoonmaken (thema 7)" "to clean"
"          (maakte schoon, maakten schoon; heeft schoongemaakt) schoonmaker" NA
"schrijven (thema 1)" "to write"
"          (schreef, schreven; heeft geschreven)" NA
"slagen (thema 5)" "to pass, to succeed"
"          (slaagde, slaagden; is geslaagd)" NA
"slapen (thema 5)" "to sleep"
"          (sliep, sliepen; heeft geslapen)" NA
"sluiten (thema 4)" "to close"
"          (sloot, sloten; heeft gesloten)" NA
"smaken (thema 3)" "to taste"
"          (smaakte, smaakten; heeft gesmaakt)" NA
"smeren (thema 7)" "to grease, to spread out"
"          (smeerde, smeerden; heeft gesmeerd)" NA
"snappen (thema 8)" "to understand"
"          (snapte, snapten; heeft gesnapt)" NA
"spelen (thema 5)" "to play"
"          (speelde, speelde; heeft gespeeld)" NA
"spreken (thema 1)" "to speak"
"          (sprak, spraken; heeft gesproken)" NA
"squashen (thema 5)" "to play squash"
"          (squashte, squashten; heeft gesquasht)" NA
"staan (thema 2)" "to stand"
"          (stond, stonden; heeft gestaan)" NA
"stappen (thema 4)" "to step; to go out"
"          (stapte, stapten; heeft gestapt)" NA
"starten (thema 9)" "to start"
"          (startte, startten; heeft/is gestart)" NA
"stelen (thema 8)" "to steal"
"          (stal, stalen; heeft gestolen)" NA
"stellen (thema 2)" "to put (questions)"
"          (stelde, stelden; heeft gesteld)" NA
"stijgen (thema 5)" "to rise, to go up"
"          (steeg, stegen; is gestegen)" NA
"stilstaan (thema 4)" "to stand still, to stop"
"          (stond stil, stonden stil; heeft stilgestaan)" NA
"stimuleren (thema 10)" "to stimulate"
"          (stimuleerde, stimuleerden; heeft gestimuleerd)" NA
"stoppen (thema 4)" "to stop"
"          (stopte, stopten; is gestopt)" NA
"studeren (thema 1)" "to study"
"          (studeerde, studeerden; heeft gestudeerd)" NA
"sturen (thema 2)" "to send"
"          (stuurde, stuurden; heeft gestuurd)" NA
"terugbellen (thema 9)" "to call back"
"          (belde terug, belden terug; heeft teruggebeld)" NA
"terugbrengen (thema 7)" "to return, to bring back"
"          (bracht terug, brachten terug; heeft teruggebracht)" NA
"terugkomen (thema 7)" "to return, to come back"
"          (kwam terug, kwamen terug; is teruggekomen)" NA
"toenemen (thema 10)" "to increase, to grow"
"          (nam toe, namen toe; is toegenomen)" NA
"toepassen (thema 8)" "to apply"
"          (paste toe, pasten toe; heeft toegepast)" NA
"twijfelen (thema 9)" "to doubt"
"          (twijfelde, twijfelden; heeft getwijfeld)" NA
"uitgaan (thema 7)" "to go out"
"          (ging uit, gingen uit; zijn uitgegaan)" NA
"uitkijken (thema 5)" "to watch out, to be careful"
"keek uit, keken uit; heeft uitgekeken" NA
"uitlaten (thema 6)" "to walk (the dog)"
"          (liet uit, lieten uit; heeft uitgelaten)" NA
"uitnodigen (thema 7)" "to invite"
"          (nodigde uit, nodigden uit; heeft uitgenodigd)" NA
"uitrusten (thema 8)" "to take a rest"
"          (rustte uit, rustten uit; heeft uitgerust)" NA
"uitslapen (thema 7)" "to sleep long"
"          (sliep uit, sliepen uit; heeft uitgeslapen)" NA
"uitstappen (thema 7)" "step out (of the train)"
"          (stapte uit, stapten uit; is uitgestapt)" NA
"uitvoeren (thema 9)" "to execute, to perform"
"          (voerde uit, voerden uit; heeft uitgevoerd)" NA
"uitwisselen (thema 8)" "to exchange"
"          (wisselde uit, wisselden uit; heeft uitgewisseld)" NA
"uitzetten (thema 7)" "to put out"
"          (zette uit, zetten uit; heeft uitgezet)" NA
"veranderen (thema 4)" "to change"
"          (veranderde, veranderden; heeft veranderd)" NA
"verbazen (zich; thema 8)" "to be surprised"
"verbaasde zich, verbaasden zich; heeft zich verbaasd)" NA
"verbeteren (thema 5)" "to improve"
"          (verbeterde, verbeterden; heeft verbeterd)" NA
"vergeten (thema 2)" "to forget"
"          (vergat, vergaten; heeft/is vergeten)" NA
"vergissen ( zich; thema 8)" "to be mistaken"
"          (vergiste zich, vergisten zich; heeft zich vergist)" NA
"verheugen (zich; thema 8)" "to look forward to"
"          (verheugde zich, verheugden zich; heeft zich verheugd)" NA
"verhuizen (thema 2)" "to move (house)"
"          (verhuisde, verhuisden; is verhuisd)" NA
"verklaren (thema 7)" "to declare"
"          (verklaarde, verklaarden; heeft verklaard)" NA
"verkopen (thema 6)" "to sell"
"          (verkocht, verkochten; heeft verkocht)" NA
"veroorzaken (thema 9)" "to cause"
"          (veroorzaakte, veroorzaakten; heeft veroorzaakt)" NA
"verslapen (zich; thema 8)" "to oversleep"
"          (versliep zich, versliepen zich; heeft zich verslapen)" NA
"verstaan (thema 2)" "to understand"
"          (verstond, verstonden; heeft verstaan)" NA
"vertellen (thema 7)" "to tell"
"          (vertelde, vertelden; heeft verteld)" NA
"vertrekken (thema 4)" "to leave"
"          (vertrok, vertrokken; is vertrokken)" NA
"vervangen (thema 6)" "to replace"
"          (verving, vervingen; heeft vervangen)" NA
"vinden (thema 2)" "to find"
"          (vond, vonden; heeft gevonden)" NA
"voeden (thema 10)" "to feed, to nourish"
"          (voedde, voedden; heeft gevoed)" NA
"voelen (zich; thema 8)" "to feel"
"          (voelde zich, voelden zich; heeft zich gevoeld)" NA
"volgen (thema 5)" "to follow"
"          (volgde, volgden; heeft gevolgd)" NA
"voorstellen (thema 6)" "to propose, to suggest"
"          (stelde voor, stelden voor; heeft voorgesteld)" NA
"vragen (thema 1)" "to ask"
"          (vroeg, vroegen; heeft gevraagd)" NA
"waaien (thema 4)" "to blow (wind)"
"          (waaide/woei, waaiden/woeien; heeft gewaaid)" NA
"wachten (thema 4)" "to wait"
"          (wachtte, wachtten; heeft gewacht)" NA
"wandelen (thema 5)" "to go for a walk"
"          (wandelde, wandelden; heeft gewandeld)" NA
"wassen (zich; thema 8)" "to wash oneself"
"          (waste zich, wasten zich; heeft zich gewassen)" NA
"wassen (thema 7)" "to wash"
"          (waste, wasten; heeft gewassen)" NA
"weggaan (thema 7)" "to leave, to go away"
"          (ging weg, gingen weg; is weggegaan)" NA
"werken (thema 1)" "to work"
"          (werkte, werkten; heeft gewerkt)" NA
"weten (thema 7)" "to know"
"          (wist, wisten; heeft geweten)" NA
"willen (thema 2)" "to want, to wish"
"          (wilde / wou, wilden / wouden; heeft gewild)" NA
"winkelen (thema 1)" "to go shopping"
"          (winkelde, winkelden; heeft gewinkeld)" NA
"winnen (thema 5)" "to win"
"          (won, wonnen; heeft gewonnen)" NA
"witten (thema 6)" "to whitewash"
"          (witte, witten; heeft gewit)" NA
"wonen (thema 1)" "to live (in a house, city)"
"          (woonde, woonden; heeft gewoond)" NA
"zakken (thema 5)" "to fail (the exam)"
"          (zakte, zakten; is gezakt)" NA
"zeggen (thema 3)" "to say"
"          (zei, zeiden; heeft gezegd)" NA
"zijn (thema 1)" "to be"
"          (was, waren; is geweest)" NA
"zingen (thema 5)" "to sing"
"          (zong, zongen; heeft gezongen)" NA
"zitten (thema 1)" "to sit"
"          (zat, zaten; heeft gezeten)" NA
"zoeken (thema 2)" "to look for, to search"
"          (zocht, zochten; heeft gezocht)" NA
"zorgen (thema 10)" "to care, to take care"
"          (zorgde, zorgden; heeft gezorgd0" NA
"zorgen maken (zich; thema 8)" "to worry, to be worried"
"          (maakte zich zorgen, maakten zich zorgen; heeft zich zorgen gemaakt)" NA
"zullen (thema 2)" "will, shall"
"          (zou, zouden; -)" NA
"zwemmen (thema 1)" "to swim"
"          (zwom, zwommen; heeft gezwommen)" NA
