"English" "French" "Word.type" "Example" "Translation"
"first" "premier  " "determiner,noun/adjective " "est-elle la première épouse, la deuxième? " "is she the first wife, the second one? "
"to want" "vouloir  " "masculine noun,verb " "tu veux faire ton chemin. c'est bien " "you want to continue on your way. that's OK "
"already" "déjà  " "adverb " "les rues étaient déjà pleines de monde " "the streets were already full of people "
"great, big, tall" "grand  " "adverb,noun/adjective " "tu es plus grand que je pensais " "you're taller than I thought "
"my" "mon  " "determiner " "t'aurais pu rencontrer mon copain " "you could've met my buddy "
"me, to me, myself" "me  " "pronoun " "reviens me voir dans cinq ou six ans " "come back to see me in five or six years "
"less" "moins  " "adjective invariable (no distinct plural),adverb,masculine noun(no distinct plural),preposition " "il avait moins d'excuses encore que ses complices " "he had even less excuses than his accomplices did "
"none, either, neither, not any" "aucun  " "determiner,adjective,pronoun " "trop d'argent et aucun goût " "too much money and no taste "
"him, her" "lui  " "pronoun " "mais j'ai confiance qu'en lui " "but I have confidence in him "
"time" "temps  " "masculine noun (no distinct plural) " "sur le plan spirituel, le temps n'existe pas " "on the spiritual level, time does not exist "
"very" "très  " "adverb " "j'ai été bonne? très, très bonne " "was I good? very, very good "
"to know" "savoir  " "masculine noun,verb " "je ne savais plus quoi dire " "I didn't know what to say any more "
"to take, require, need" "falloir  " "verb " "il ne faut pas être raciste, point " "there's no need to be a racist, at all "
"to see" "voir  " "verb " "je tenais seulement à te voir pour te dire ... bonne chance " "I just wanted to see you to say … good luck "
"some" "quelque  " "adverb,adjective,determiner " "il restera pour quelques mois " "he will stay for a few months "
"without" "sans  " "preposition " "je fais plus jeune sans maquillage " "I look younger without makeup "
"reason" "raison  " "feminine noun " "elle a raison, tu sais " "she's right, you know "
"our" "notre  " "determiner " "notre ville a le sens de la communauté " "our city has a sense of community "
"whose, of which" "dont  " "pronoun " "on a tout ce dont tu rêvais en ville " "everything you dreamed about is available in town "
"no, not" "non  " "adverb,masculine noun invariable " "non, je ne peux pas parler maintenant " "no, I can't talk now "
"year" "an  " "masculine noun " "j'avais un an à la mort de mon père " "I was one year old when my father died "
"world, people" "monde  " "masculine noun " "notre ultime but est de reconstruire le monde " "our ultimate goal is to remake the world "
"day" "jour  " "masculine noun " "un jour, je retrouverais mes vrais parents " "one day, I would find my real parents "
"mister, sir, gentleman" "monsieur  " "masculine noun " "comment allez-vous , monsieur? " "how are you, sir? "
"to ask for" "demander  " "verb " "j'ai un service à vous demander " "I would like to ask you to do something for me "
"then, so" "alors  " "adverb " "et alors? vous revenez quand? " "so? when are you coming back ? "
"after" "après  " "adverb,preposition " "il a succombé à ses blessures peu après " "he shortly thereafter succumbed to his wounds "
"to find" "trouver  " "verb " "j'ai trouvé du sang. sur le siège avant " "I found some blood. on the front seat "
"person, people, anybody, anyone, nobody" "personne  " "feminine noun,pronoun " "il ne parlait à personne en particulier " "he was speaking to nobody in particular "
"to render, return, yield, give up" "rendre  " "verb " "je m'y rendis à 4 heures du matin " "I went there at 4 o'clock in the morning "
"share" "part  " "feminine noun " "je voudrais vous faire part de quelques données " "I want to share some data with you "
"last" "dernier  " "noun/adjective " "c'est le dernier endroit où vous auriez dû vous rencontrer " "that's the last place you should have met "
"to come" "venir  " "verb " "venez rencontrer les autres " "come meet the others "
"during; pendant" "pendant  " "adjective,preposition,masculine noun " "où t'étais pendant tout ce temps? " "where were you all of this time? "
"to pass" "passer  " "verb " "nous sommes passées devant la maison de ma grand-mère " "we went past the front of my grandmother's place "
"little" "peu  " "adverb " "un secret se dévoile peu à peu " "a secret unfolds little by little "
"who, whom, which" "lequel  " "pronoun " "il y a bien des points sur lesquels je voudrais faire des commentaires " "there are many points on which I would like to comment "
"result, follow-up, rest" "suite  " "feminine noun " "deux, trois et ainsi de suite " "two, three, and so on "
"good" "bon  " "adjective,adverb,interjection,masculine noun " "ce n'est pas le bon moment " "it's not a good time "
"to understand" "comprendre  " "verb " "je comprends que vous soyez fâché " "I understand that you're upset "
"since, for" "depuis  " "adverb,preposition " "je le connais depuis le lycée " "I have known him since high school "
"point; at all" "point  " "adverb,masculine noun " "je suis d'accord avec ce point de vue " "I'm in agreement with that point of view "
"thus" "ainsi  " "adverb " "qu'est-ce qui le pousse à agir ainsi? " "what drives him to act that way? "
"hour" "heure  " "feminine noun " "a quelle heure sont-ils partis? " "at what time did they leave? "
"to stay" "rester  " "verb " "le temps qu'il te reste, trouve une solution " "in the remaining time, find a solution "
"alone, only" "seul  " "adjective " "parler tout seul était signe d'aliénation " "talking to oneself was a sign of loneliness "
"year" "année  " "feminine noun " "il devait se présenter l'année suivante " "he had to show up the next year "
"always" "toujours  " "adverb " "tu es toujours en retard " "you're always late "
"to hold" "tenir  " "verb " "c'est une porte de sécurité. tiens ça " "it's a security door. hold this "
"to wear, carry" "porter  " "masculine noun,verb " "il a porté le maillot jaune un jour " "he wore the yellow jersey one day "
"to speak" "parler  " "masculine noun,verb " "je sais de quoi je parle " "I know what I'm talking about "
"strong" "fort  " "adverb,adjective,masculine noun " "c'est une femme forte " "she is a strong woman "
"to show" "montrer  " "verb " "c'est une étrange façon de montrer votre reconnaissance " "that's a strange way to show your gratitude "
"there, here" "là  " "adverb,interjection " "je n'étais pas passé par là " "I hadn't passed by there "
"certain, sure" "certain  " "adjective,determiner,masculine noun,pronoun " "certains ont affirmé que le gouvernement était trop faible " "some contend that the government was too weak "
"end; gist; clever person" "fin  " "adjective,adverb,feminine noun,masculine noun " "la fin est importante en toutes choses " "the ending is important in everything "
"you" "tu  " "pronoun " "a ma place, tu ne le ferais pas " "in my position, you would not do it "
"to continue" "continuer  " "verb " "tu continues de m'impressionner " "you continue to impress me "
"country" "pays  " "masculine noun(no distinct plural) " "ils vivent dans ce beau pays " "they live in this beautiful country "
"three" "trois  " "determiner,masculine noun invariable " "les trois chasseurs étaient en pleine lumière " "the three hunters were directly in the light "
"to think" "penser  " "masculine noun,verb " "je pense que vous le connaissez bien " "I think you know him very well "
"place" "lieu  " "masculine noun " "je suis né dans un lieu public " "I was born in a public place "
"part" "partie  " "feminine noun " "il garde la majeure partie de cet argent " "he's keeping most of that money "
"when" "quand  " "adverb,conjunction " "tu aurais dû me tuer quand tu en as eu l'occasion " "you should have killed me when you had the chance "
"to follow" "suivre  " "verb " "les autres, suivez-moi! " "everybody else, follow me! "
"against" "contre  " "adverb,masculine noun,preposition " "je vois, tu es en colère contre moi " "I see you're angry with me "
"under" "sous  " "preposition " "juste sous ton nez " "right under your nose "
"side" "côté  " "masculine noun " "il s'arrête à côté du fauteuil " "he stops beside the armchair "
"together" "ensemble  " "adverb,masculine noun " "on n'a jamais été si bien ensemble " "we've never gotten along so well together "
"thing" "chose  " "adjective (no distinct feminine),feminine noun " "les choses pourraient bien changer à l'avenir " "things could change in the future "
"child" "enfant  " "masculine noun,feminine noun,adjective (no distinct feminine) " "mes enfants sont en vie " "my children are alive "
"cause" "cause  " "feminine noun " "ces hallucinations ont une cause " "these hallucinations have a cause "
"politics; political" "politique  " "noun/adjective (no distinct feminine) " "elle se spécialise en sciences politiques " "her specialty is political science "
"room, space, square, place" "place  " "feminine noun " "je n'aimerais pas être à votre place " "I wouldn't want to be in your stead "
"only" "seulement  " "adverb " "on va seulement rester quelques jours, ma chérie " "we're only going to stay a few days, my dear "
"me" "moi  " "masculine noun,pronounnoun " "tu sors avec moi ce soir? " "are you going out with me tonight? "
"life" "vie  " "feminine noun " "je suis sûr qu'elle est en vie " "I'm sure she's alive "
"to know" "connaître  " "verb " "je le connaissais depuis vingt ans " "I had known him for twenty years "
"to, up to, until" "jusque  " "adverb,preposition " "ils me poursuivirent jusque dans la rue " "they followed me right into the street "
"to believe" "croire  " "verb " "je n'arrive pas à y croire " "I just can't believe it "
"man" "homme  " "masculine noun " "l'homme est plus important que l'État " "man is more important than country "
"case" "cas  " "masculine noun (no distinct plural) " "en tout cas, moi, je ne l'ai pas " "in any case, I don't have it "
"small, little" "petit  " "noun/adjective " "ce petit drogué n'a pas tort " "this little drug addict isn't wrong "
"to begin, start" "commencer  " "verb " "il est important que ces entretiens commencent immédiatement " "it's important that these meetings start immediately "
"to count" "compter  " "verb " "je peux compter sur toi " "I can count on you "
"done, fact" "fait  " "adjective,masculine noun " "dans les faits, il a raison " "factually, he is correct "
"such" "tel  " "adjective,determiner,pronoun " "je vais m'abstenir d'employer un tel langage " "I'm going to refrain from using such language "
"right" "droit  " "adjective,adverb,masculine noun " "elle a le droit de tout savoir " "she has the right to know everything "
"question" "question  " "feminine noun " "je suis gêné de répondre à cette question " "I'm embarrassed to answer this question "
"so, then, therefore, thus" "donc  " "conjunction " "nous avons donc dû faire les calculs nous-mêmes " "we had to do the calculations ourselves "
"which, what" "quel  " "determiner,adjective,pronoun " "quel livre cherchiez-vous? " "which book are you looking for? "
"general" "général  " "noun/adjective " "voici quelques conseils généraux " "here are a few general pieces of advice "
"moment" "moment  " "masculine noun " "arrête de parler pour un moment " "stop talking for a moment "
"to hear" "entendre  " "verb " "j'ai entendu la nouvelle " "I heard the news "
"much, a lot of, many" "beaucoup  " "adverb " "il est en mesure de révéler beaucoup de choses " "he's in a position to reveal many things "
"each" "chaque  " "determiner,adjective " "chaque entreprise doit avoir sa propre organisation " "every company must have its own organization "
"young" "jeune  " "noun/adjective (no distinct feminine) " "le gouvernement cherche à exploiter les jeunes " "the government is trying to exploit young people "
"work" "travail  " "masculine noun " "je ne prenais pas mon travail au sérieux " "I wasn't taking my work seriously "
"woman, wife" "femme  " "feminine noun " "je vous déclare maintenant mari et femme " "I now declare you husband and wife "
"to wait" "attendre  " "verb " "ma mère m'attend dans la grande salle " "my mother awaits me in the large room "
"to deliver, replace, set, put" "remettre  " "verb " "on s'est remis à marcher " "we resumed walking "
"to call" "appeler  " "verb " "comment s'appelle-t-il? " "what's his name? "
"to allow" "permettre  " "verb " "vous permettez que j'utilise votre téléphone? " "would you allow me to use your telephone? "
"to occupy" "occuper  " "verb " "sa main droite était occupée à tenir la petite valise " "his right hand was busy holding the small suitcase "
"government" "gouvernement  " "masculine noun " "le gouvernement a augmenté les impôts " "the government increased taxes "
"them" "eux  " "pronoun " "c'est eux qui comptent " "they are the ones who matter "
"to become" "devenir  " "masculine noun,verb " "je suis très heureux que vous deveniez ma voisine " "I'm very happy you've become my neighbour "
"to leave" "partir  " "verb " "il est parti à présent " "he is gone for the moment "
"plan" "plan  " "adjective,masculine noun " "achetez donc un plan de la ville " "so buy a map of the city "
"to decide" "décider  " "verb " "j'ai décidé d'écrire un roman " "I decided to write a novel "
"either...or" "soit  " "adverb,conjunction " "il a pas le choix: soit il est une star soit il est rien " "he doesn't have a choice: either he's a star or he's nothing "
"here" "ici  " "adverb " "moi je reste ici " "I'm going to stay here "
"nothing" "rien  " "adverb,masculine noun,pronoun " "moi, je n'en sais rien " "I don't know anything about it "
"course" "cours  " "feminine noun plural,masculine noun (no distinct plural) " "ils organisaient des petits cours et des séminaires " "they organized short courses and seminars "
"business, matter" "affaire  " "feminine noun " "occupe-toi de tes affaires " "mind your own business "
"name" "nom  " "masculine noun " "quel est son nom? " "what is his name? "
"family" "famille  " "feminine noun " "il provient sûrement d'une excellente famille " "he surely comes from an excellent family "
"effect" "effet  " "masculine noun " "il s'agit, en effet, d'une question cruciale " "it is, indeed, a crucial question "
"to arrive, happen" "arriver  " "verb " "cela ne m'était pas arrivé depuis " "that hasn't happened to me since "
"possible" "possible  " "adjective (no distinct feminine) " "nous avons donc deux scénarios possibles " "so we have two possible scenarios "
"because; bus" "car  " "conjunction,masculine noun " "c'est dommage, car tu vas perdre un gros client " "it's too bad, because you're going to lose a major customer "
"to serve" "servir  " "verb " "il m'a servi une coupe de champagne " "he served me a glass of champagne "
"month" "mois  " "masculine noun (no distinct plural) " "il a écrit ce livre en deux mois " "he wrote this book in two months "
"never" "jamais  " "adverb " "je jure de ne plus jamais te contacter " "I swear I will never contact you again "
"to seem" "sembler  " "verb " "le processus semble irréversible " "the process seems irreversible "
"so much, so many" "tant  " "adverb " "mais vous avez tant à enseigner " "but you have so much to teach "
"toward; verse" "vers  " "masculine noun (no distinct plural),preposition " "un tram se dirige vers toi. monte dedans " "a tram is approaching you. get on it "
"need" "besoin  " "masculine noun " "nous avons vraiment besoin d'aide " "we really need some help "
"to come back" "revenir  " "verb " "je sais qu'elle ne reviendra jamais " "I know she will never return "
"from, as soon" "dès  " "preposition " "on me fera signe dès que vous descendrez " "they'll wave to me as soon as you get down there "
"means, way; medium" "moyen  " "adjective,masculine noun " "il songeait aux moyens de profiter de sa victoire " "he was dreaming of a way to profit from his victory "
"group" "groupe  " "masculine noun " "on va commencer avec le premier groupe " "we'll start with the first group "
"problem" "problème  " "masculine noun " "nous avons osé soulever le problème " "we dared raise the problem "
"relationship, report" "rapport  " "masculine noun " "je propose que le rapport du comité soit adopté " "I move that the committee's report be adopted "
"perhaps, maybe" "peut-être  " "adverb " "j'ai peut-être une idée " "I might have an idea "
"view" "vue  " "feminine noun " "la vue est belle, de cette fenêtre " "the view from this window is pretty "
"now" "maintenant  " "adverb " "je ne peux pas partir maintenant " "I can't leave now "
"why" "pourquoi  " "adverb,conjunction,masculine noun invariable " "pourquoi tu ne m'invites pas? " "why don't you invite me? "
"better, best" "meilleur  " "noun/adjective " "j'apprends à être un meilleur mari " "I'm learning to be a better husband "
"too much, too many" "trop  " "adverb " "la vie est trop courte. essayez d'être heureuse " "life is too short. try to be happy "
"to leave" "laisser  " "verb " "il va nous laisser tranquilles " "he'll leave us alone "
"order" "ordre  " "masculine noun " "ce sont des scientifiques de premier ordre " "they are first-rate scientists "
"in front, ahead" "devant  " "adverb,masculine noun,preposition " "une fumée montait devant nous sur l'horizon " "smoke billowed ahead of us on the horizon "
"to receive" "recevoir  " "verb " "il n'a plus reçu de lettres de moi " "he didn't receive any more letters from me "
"to answer" "répondre  " "verb " "j'aimerais y répondre par une autre question " "I would like to respond to it with another question "
"to live" "vivre  " "masculine noun,verb " "aucune Marocaine ne vit seule dans le quartier " "no Moroccan woman lives alone in the neighbourhood "
"long, lengthy" "long  " "adverb,noun/adjective " "l'éducation sur le long terme paiera, j'en suis convaincu " "long-term education pays off, I'm convinced of that "
"service" "service  " "masculine noun " "je faisais mon service militaire " "I was doing my military service "
"minister" "ministre  " "masculine noun,feminine noun " "les ministres se sont réunis dans la nuit " "the ministers met during the night "
"front, side, face" "face  " "feminine noun " "on s'est trouvés face à face " "we found ourselves face to face "
"at, with" "chez  " "preposition " "elle ira peut être vivre définitivement chez lui " "she might go live with him permanently "
"you, to you, from you" "te  " "pronoun " "je vais t'emmener chez un médecin " "I'm going to take you to a doctor "
"to recall, call back" "rappeler  " "verb " "je ne me rappelle pas avoir été aussi heureux " "I don't remember having been that happy "
"to present" "présenter  " "verb " "papa je te présente Claire " "daddy, this is Claire "
"to accept" "accepter  " "verb " "j'accepte avec plaisir votre aimable invitation " "I accept with pleasure your kind invitation "
"to act" "agir  " "verb " "c'est le moment d'agir " "now is the time to act "
"simple" "simple  " "noun/adjective (no distinct feminine) " "on préférerait une réponse simple " "we would prefer a simple answer "
"several" "plusieurs  " "determiner,adjective,pronoun " "il y a plusieurs formes d'humour " "there are several types of humour "
"your" "votre  " "determiner " "permettez-moi de vous parler dans votre langue " "allow me to speak to you in your language "
"important" "important  " "noun/adjective " "c'est une question extrêmement importante " "it's an extremely important question "
"present" "présent  " "noun/adjective " "il est trop tard pour dîner à présent " "it's too late to have supper now "
"better" "mieux  " "adjective invariable (no distinct plural),adverb,masculine noun " "je ne vous ai jamais mieux aimée " "I have never loved you more "
"to put, pose, ask" "poser  " "verb " "je ne me posais plus de questions " "I didn't ask myself any more questions "
"to play" "jouer  " "verb " "les enfants jouent dehors " "the children are playing outside "
"word" "mot  " "masculine noun " "je ne crois pas un mot sorti de ta petite bouche " "I don't believe a single word from your little mouth "
"to recognise" "reconnaître  " "verb " "Joseph reconnut le chant de la grive " "Joseph recognised the thrush's song "
"force" "force  " "feminine noun " "parle-moi de ces forces surnaturelles " "talk to me of these supernatural forces "
"situation" "situation  " "feminine noun " "dans des situations aussi difficiles, il faut trancher " "in such difficult situations, drastic measures must be taken "
"to offer" "offrir  " "verb " "alors, je vous offre la vie éternelle " "so I offer you eternal life "
"near, nearby, close by" "près  " "adverb,preposition " "il y a un siège vide près de vous " "there's an empty seat near you "
"to choose" "choisir  " "verb " "c'est maintenant le moment de choisir " "now is the moment to choose "
"national" "national  " "noun/adjective " "il y avait l'intérêt national français " "the national interests of the French were involved "
"project" "projet  " "masculine noun " "le gouvernement ne financerait aucun projet touchant cette pratique " "the government would not fund any project involving this practice "
"nor" "ni  " "conjunction " "je ne mange pas de viandes, ni de produits laitiers " "I don't eat meat or dairy products "
"then, so" "puis  " "adverb " "elle a tenté de me tuer, puis elle m'a chassée " "she tried to kill me, then she chased me "
"to touch" "toucher  " "masculine noun,verb " "il lui touche l'épaule " "he touches her shoulder "
"train" "train  " "masculine noun " "je pris le train pour un aller-retour vers la mer " "I took the train on a round-trip outing to the sea "
"today" "aujourd'hui  " "adverb " "je peux, aujourd'hui encore, en réciter " "even today I can still recite some of them "
"how" "comment  " "adverb,conjunction,interjection,masculine noun invariable " "voyons un peu comment les choses se sont passées " "let's take a look at how things unfolded "
"especially, above all" "surtout  " "adverb,masculine noun " "j'ai surtout besoin d'argent " "what I need above all is money "
"people" "gens  " "masculine noun plural " "des gens sont venus me voir " "people came to see me "
"clean, proper" "propre  " "noun/adjective (no distinct feminine) " "la pétasse était propre, mec " "the woman was clean, man "
"thanks, grace, favour" "grâce  " "feminine noun " "je ne vous demande aucune grâce " "I'm not asking you for any favours "
"idea" "idée  " "feminine noun " "que pensez-vous de cette idée? " "what do you think of this idea? "
"according to" "selon  " "preposition " "tout est prêt selon vos désirs " "everything's ready according to your wishes "
"region" "région  " "feminine noun " "la région a connu une cinquantaine de massacres " "the region has experienced some fifty massacres "
"to like, love" "aimer  " "verb " "tu sais que je t'aime " "you know I love you "
"sense, meaning" "sens  " "masculine noun (no distinct plural) " "il manquait un sens à donner à ma vie " "there was a lack of meaning in my life "
"to find, recall" "retrouver  " "verb " "je te retrouve dehors " "I'll find you outside "
"week" "semaine  " "feminine noun " "ma pièce se jouait cette semaine " "my play was showing that week "
"also, too, as well, equally" "également  " "adverb " "reculer est également hors de question " "backing down is also not an option "
"this one, here" "ci  " "adverb,pronoun " "et celui-ci? oui, il est vraiment super " "and this one here? yes, he's really great "
"way, manner" "façon  " "feminine noun " "c'est une façon de voir, je suppose " "it's a way of looking at it, I guess "
"number" "nombre  " "masculine noun " "il existe un nombre infini de réponses possibles " "there are an infinite number of possible answers "
"to lose" "perdre  " "verb " "vous avez perdu votre mère, mademoiselle? " "did you lose your mother, miss? "
"French" "français  " "noun/adjective (no distinct plural) " "il faut leur parler en français " "you need to speak to them in French "
"to explain" "expliquer  " "verb " "je vous en prie, expliquez-moi tout " "I beg you, explain everything to me "
"four" "quatre  " "determiner,masculine noun invariable " "nous sommes quatre étudiants dans la maison " "we're four students sharing a house "
"account, count" "compte  " "masculine noun " "cette ville a eu son compte de désastres " "this city has had its fair share of disasters "
"to consider" "considérer  " "verb " "la présidence considère cela comme une priorité majeure " "the presidency considers that a major priority "
"when" "lorsque  " "conjunction " "que se passe-t-il lorsque nous manquons de sucre? " "what happens when we lack sugar? "
"to open" "ouvrir  " "verb " "s'il vous plaît, ouvrez les yeux " "please open your eyes "
"to win, earn" "gagner  " "verb " "que le meilleur gagne " "may the best man win "
"example" "exemple  " "masculine noun " "ces exemples sont encore bien pauvres " "these examples are still very weak "
"city" "ville  " "feminine noun " "nous étions de la même ville " "we were from the same city "
"economic, economical" "économique  " "noun/adjective (no distinct feminine) " "le rétablissement économique de l'Asie est plus rapide que prévu " "Asian economic recovery is faster than projected "
"measure" "mesure  " "feminine noun " "écrire me libère dans une certaine mesure " "writing liberates me to a certain extent "
"history, story" "histoire  " "feminine noun " "on a raconté d'amusantes histoires " "we told funny stories "
"top, high" "haut  " "adverb,noun/adjective " "voilà qui vous lancera dans la haute société " "that's who will launch you into high society "
"next" "ensuite  " "adverb " "ensuite il va au restaurant " "then he's going to the restaurant "
"war" "guerre  " "feminine noun " "c'est nul, la guerre! " "war is nothing! "
"law" "loi  " "feminine noun " "je vais voter contre le projet de loi " "I'm going to vote against the bill "
"president" "président  " "masculine noun " "j'ai rencontré le président des Etats-Unis " "I met the president of the U.S. "
"to exist" "exister  " "verb " "le risque n'existe plus " "there is no more risk "
"sure" "sûr  " "adjective " "tu m'attends? bien sûr, poupée " "will you wait for me? of course, doll "
"to refuse" "refuser  " "verb " "attendez...vous refusez d'obéir? " "wait... you refuse to obey? "
"rather" "plutôt  " "adverb " "ce jet vole plutôt bas " "this jet is flying rather low "
"office, desk" "bureau  " "masculine noun " "il veut vous voir dans son bureau immédiatement " "he wants to see you in his office immediately "
"bad, wrong" "mauvais  " "adverb,noun/adjective (no distinct plural) " "il constitue un pas dans la mauvaise direction " "it constitutes a step in the wrong direction "
"as for" "quant  " "adverb " "les vents tempétueux ont modifié la situation quant aux avalanches " "the stormy winds changed the avalanche situation "
"dead; death" "mort  " "adjective,feminine noun " "la mort ne m'effraye pas " "death doesn't frighten me "
"bad" "mal  " "adjective invariable,adverb,masculine noun " "autrement dit, la journée a plutôt mal commence " "in other words, the day started out rather badly "
"to read; lira" "lire  " "feminine noun,verb " "je ne voulais pas lire mes poèmes " "I didn't want to read my poems "
"to succeed" "réussir  " "verb " "il ne réussit pas à vendre un seul dessin " "he can't manage to sell even one drawing "
"market" "marché  " "masculine noun " "le marché des maisons est resté stable " "the housing market has remained stable "
"condition" "condition  " "feminine noun " "l'unité de la condition humaine " "the unity of the human condition "
"international" "international  " "noun/adjective " "elle jouit également d'une excellente réputation international " "she also has an excellent international reputation "
"to change" "changer  " "verb " "ensemble, ils ont changé beaucoup de choses " "together, they changed many things "
"yes" "oui  " "adverb,masculine noun invariable " "oui, oui, je sais! " "yes, yes, I know "
"public, audience" "public  " "noun/adjective " "je dois beaucoup au public " "I owe a lot to the public "
"human" "humain  " "noun/adjective " "vous savez, on est humains, nous aussi " "you know, we are also human "
"often" "souvent  " "adverb " "mais alors souvent en fin de soirée c'est la fête " "well, often the night ends with a party "
